source_group,price,area_total,rooms,floor,floors_total,address,metro,metro_walk_min,kitchen_area,walls,link
3k,31000000,64.1,3,3,34,Посмотреть 16 фото,Воронцовская,8,17.9,Монолитно-Кирпичный,https://msk.etagi.com/realty/11948655/
3k,20300000,62.4,3,5,12,"3к, 62.4м², 5/12 этаж, ул. Рогова, 2, Москва, квартира",На карте Щукинская,21,7.0,Каркасно-панельный,https://msk.etagi.com/realty/11759149/
3k,27999999,77.0,3,2,17,"3к, 77м², 2/17 этаж, ул. Борисовские Пруды, 13к1, Москва, квартира",Борисово,23,11.0,Панельные,https://msk.etagi.com/realty/11900679/
3k,31500000,73.0,3,13,24,"3к, 73м², 13/24 этаж, ул. Коминтерна, 28к1, Москва, квартира",Бабушкинская,21,9.7,Кирпичные,https://msk.etagi.com/realty/11902740/
3k,36750000,70.0,3,,,"3к, 70м², 18 этаж, ул. Красноказарменная, 14а, Москва, квартира",а На карте Лефортово Авиамоторная,9,12.6,,https://msk.etagi.com/realty/11903449/
3k,22000000,63.0,3,7,9,"3к, 63м², 7/9 этаж, ул. Болотниковская, 42к1, Москва, квартира",На карте Нахимовский проспект,18,6.0,Панельные,https://msk.etagi.com/realty/11904825/
3k,30000000,76.5,3,14,17,"3к, 76.5м², 14/17 этаж, ул. Филёвский бульвар, 40, Москва, квартира",до метро Мневники,8,10.6,Панельные,https://msk.etagi.com/realty/11905906/
3k,18500000,80.0,3,9,16,"3к, 80м², 9/16 этаж, ул. Сочинская, 8, Москва, квартира",Некрасовка,15,9.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/11848999/
3k,29500000,74.0,3,11,16,"3к, 74м², 11/16 этаж, ул. Академика Анохина, 38к4, Москва, квартира",Юго-Западная,14,9.0,Панельные,https://msk.etagi.com/realty/11849737/
3k,21180000,64.2,3,1,9,"3к, 64.2м², 1/9 этаж, ул. Профсоюзная, 85к1, Москва, квартира",На карте Беляево,3,9.0,Панели железобетонные,https://msk.etagi.com/realty/11856019/
3k,29000000,76.8,3,4,17,"3к, 76.8м², 4/17 этаж, ул. Нахимовский проспект, 33/2, Москва, квартира",всё в радиусе,5,13.0,Монолитные,https://msk.etagi.com/realty/11861469/
3k,21300000,77.8,3,19,22,"3к, 77.8м², 19/22 этаж, ул. Мячковский бульвар, 31/19, Москва, квартира",Марьино,20,9.8,Монолитно-Кирпичный,https://msk.etagi.com/realty/11869551/
3k,31000000,77.8,3,10,10,"3к, 77.8м², 10/10 этаж, ул. Шарикоподшипниковская, 40, Москва, квартира",Дубровка,3,8.3,Кирпичные,https://msk.etagi.com/realty/11869744/
3k,35000000,73.0,3,13,56,"3к, 73м², 13/56 этаж, ул. проспект Генерала Дорохова, вл1к3, Москва, квартира",Матвеевская,14,7.2,Монолитные,https://msk.etagi.com/realty/11815954/
3k,18710000,63.9,3,8,16,"3к, 63.9м², 8/16 этаж, ул. Буракова, 11, Москва, квартира",,,9.5,Панельные,https://msk.etagi.com/realty/11816005/
3k,38000000,83.2,3,2,5,"3к, 83.2м², 2/5 этаж, ул. Новозаводская, 21, Москва, квартира",На карте Багратионовская,15,8.5,Кирпичные,https://msk.etagi.com/realty/11816198/
3k,20000000,52.4,3,2,4,"3к, 52.4м², 2/4 этаж, ул. 2-я Рыбинская, 13, Москва, апартаменты",- до автобусной остановки -,1,10.0,Монолитно-Кирпичный,https://msk.etagi.com/realty/11822092/
3k,19800000,64.0,3,11,12,"3к, 64м², 11/12 этаж, ул. Подольская, 23, Москва, квартира",На карте Курьяново,8,7.0,Панельные,https://msk.etagi.com/realty/11826858/
