source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km
all,25800000.0,64.7,2.0,15.0,23.0,"Москва, ул. Мячковский бульвар, 1",55.659119,37.751664,Братиславская,2.0,10.4,косметический ремонт,крупнопанельные железобетонные плиты,,3.0,не угловая,,1,Двор,парковка во дворе,нет,https://msk.etagi.com/realty/12606726/,raw,0.21,geo_recomputed,13.41,4.58,0.39,0.23,0.33,0.13
all,12500000.0,36.5,1.0,20.0,24.0,"Москва, ул. Верхние Поля, 45к1",55.667731,37.774014,Люблино,15.0,8.1,требует ремонта / частичный ремонт,панельные,2004.0,3.0,не угловая,"пассажирский, грузовой",45к1,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12606911/,raw,1.25,geo_recomputed,13.66,3.92,0.24,0.21,0.38,0.14
all,14500000.0,37.5,1.0,2.0,17.0,"Москва, ул. Борисовские Пруды, 21к2",55.636936,37.723403,Борисово,16.0,9.0,евроремонт,панели железобетонные,,,не угловая,,21к2,Детская площадка,,нет,https://msk.etagi.com/realty/12607300/,raw,1.34,geo_recomputed,14.49,4.1,0.13,0.09,1.11,0.54
all,14700000.0,31.5,1.0,15.0,25.0,"Москва, ул. Люблинская, 72ак2 (12 км до центра)",55.666919,37.733994,Депо,11.0,10.1,косметический ремонт,панельные,2024.0,2.65,не угловая,,72ак2,Двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12607535/,raw,0.89,geo_recomputed,12.04,5.99,0.79,0.28,1.16,0.52
all,41000000.0,60.0,2.0,15.0,20.0,"Москва, ул. Автозаводская, 26/1к4 (6 км до центра)",55.705853,37.631874,Тульская,9.0,9.0,косметический ремонт,монолитные,,,не угловая,,26/1к4,Двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12607564/,raw,0.72,geo_recomputed,5.25,12.46,0.66,0.57,0.46,0.09
all,35500000.0,86.0,3.0,18.0,23.0,"Москва, ул. 1-й Грайвороновский проезд, 1/1",55.719003,37.72705,Новохохловская,6.0,6.0,,монолитные,2020.0,2.64,не угловая,"пассажирский, грузовой",1/1,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12607679/,raw,0.49,geo_recomputed,7.89,6.84,0.56,0.2,0.06,0.19
all,15800000.0,38.3,1.0,3.0,25.0,"Москва, ул. Дмитровское шоссе, 86 (14 км до центра)",55.869364,37.549857,Селигерская,6.0,10.0,косметический ремонт,монолитные,2013.0,2.64,не угловая,"пассажирский, грузовой",86,Двор,наземный паркинг,есть,https://msk.etagi.com/realty/12607922/,raw,0.5,geo_recomputed,13.66,4.04,0.21,0.1,0.14,0.13
all,16900000.0,30.1,1.0,,,"Москва, ул. Менжинского, 15к2",55.867339,37.671651,Бабушкинская,7.0,6.0,,,,,не угловая,,15к2,Детская площадка,,нет,https://msk.etagi.com/realty/12608075/,raw,0.59,geo_recomputed,13.27,3.09,0.12,0.21,0.12,0.35
all,16500000.0,39.8,1.0,24.0,33.0,"Москва, ул. Кавказский бульвар, 51к2 (14 км до центра)",55.62819,37.639581,Кантемировская,16.0,9.0,косметический ремонт,монолитные,,,не угловая,,51к2,Двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12591333/,raw,1.37,geo_recomputed,13.87,6.04,0.85,0.68,0.67,0.47
all,23300000.0,58.0,2.0,10.0,21.0,"Москва, ул. проезд Шокальского, 28ак1 (14 км до центра)",55.878859,37.650352,Медведково,15.0,11.0,косметический ремонт,монолитные,,,не угловая,,28ак1,Детская площадка,,нет,https://msk.etagi.com/realty/12596706/,raw,1.24,geo_recomputed,14.25,1.94,0.1,0.18,0.53,0.33
all,13800000.0,64.5,3.0,7.0,16.0,"Москва, ул. 2-я Вольская, 26",55.686284,37.927779,Некрасовка,22.0,7.8,евроремонт,панельные,1989.0,2.64,не угловая,"пассажирский, грузовой",26,Двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12596937/,raw,1.85,geo_recomputed,20.88,5.94,0.33,0.41,0.75,0.17
all,13500000.0,50.4,2.0,6.0,15.0,"6 к2, Говорово, Хутор Говорово, район Солнцево, Москва, Центральный федеральный округ, 119606, Россия",55.648727,37.439104,Румянцево,21.0,6.8,требует ремонта / частичный ремонт,монолитно-кирпичный,2025.0,2.82,не угловая,"пассажирский и грузовой, пассажирский",к2,Двор,"наземный паркинг, подземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12597151/,geo,1.76,geo_recomputed,15.96,0.46,0.92,1.2,1.56,0.93
all,10999000.0,25.0,0.0,2.0,13.0,"Москва, ул. Шереметьевская, 21 (5 км до центра)",55.799851,37.615255,Марьина Роща,3.0,5.0,черновая отделка,монолитные,,3.0,не угловая,"грузовой, пассажирский, пассажирский и грузовой",21,Двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12598420/,raw,0.21,geo_recomputed,5.3,10.98,0.45,0.15,0.21,0.07
all,22000000.0,38.0,2.0,2.0,9.0,"Москва, ул. Госпитальный Вал, 10/12",55.772239,37.708976,Лефортово,11.0,8.0,,панельные,,,не угловая,"пассажирский, грузовой",10/12,Двор,,нет,https://msk.etagi.com/realty/12599595/,raw,0.95,geo_recomputed,6.25,8.39,0.14,0.09,0.09,0.72
all,15900000.0,34.0,1.0,8.0,8.0,"Москва, ул. Рязанский проспект, 51",55.724662,37.766262,Окская,7.0,5.7,косметический ремонт,кирпичные,1961.0,2.64,не угловая,"пассажирский, грузовой",51,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12600300/,raw,0.57,geo_recomputed,9.92,4.59,0.15,0.23,0.66,0.23
all,27985000.0,45.0,1.0,12.0,29.0,"Москва, ул. Волгоградский проспект, 32/5к4 (5 км до центра)",55.720023,37.688782,Угрешская,7.0,9.0,косметический ремонт,монолитные,2023.0,3.0,не угловая,"пассажирский, грузовой",32/5к4,Двор,"подземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12600792/,raw,0.59,geo_recomputed,5.81,9.19,1.07,0.09,0.41,0.37
all,17820000.0,27.0,0.0,17.0,26.0,"Москва, ул. Дмитровское шоссе, 73б",55.856124,37.555723,Верхние Лихоборы,5.0,5.0,,монолитные,,,не угловая,,73б,Двор,"наземный паркинг, полуподземный паркинг",нет,https://msk.etagi.com/realty/12600890/,raw,0.45,geo_recomputed,12.15,5.43,0.63,0.71,0.48,0.13
all,,,,,,,,,,,,,,,,,,,,,,https://msk.etagi.com/realty/12601029/,missing,,missing,,,,,,
all,18000000.0,45.6,2.0,5.0,12.0,"Москва, ул. Веерная, 40к3 (17 км до центра)",55.712812,37.485367,Матвеевское,11.0,6.7,косметический ремонт,панельные,,2.5,не угловая,пассажирский,40к3,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12601370/,raw,0.92,geo_recomputed,9.26,5.16,0.28,0.18,0.37,0.47
all,28700000.0,78.3,3.0,6.0,25.0,"Москва, ул. Братеевская, 21к3",55.632057,37.754116,Борисово,8.0,9.0,,монолитные,2000.0,2.7,не угловая,,21к3,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12583976/,raw,0.68,geo_recomputed,15.93,2.36,0.27,0.24,0.75,0.16
all,14500000.0,35.0,1.0,24.0,24.0,"Тимирязевский район, Москва, Центральный федеральный округ, 125635, Россия",55.848427,37.560368,Лихоборы,6.0,14.0,чистовая отделка,панельные,,,не угловая,,к3.6,Детская площадка,,нет,https://msk.etagi.com/realty/12592366/,geo,0.52,geo_recomputed,11.24,6.28,0.59,0.88,1.04,0.31
all,28000000.0,63.5,2.0,15.0,33.0,"Москва, ул. проспект Будённого, 51к1 (8 км до центра)",55.760454,37.737767,Шоссе Энтузиастов,8.0,12.5,,другое,,2.7,не угловая,пассажирский,51к1,Двор,"наземный паркинг, парковка во дворе, гостевой паркинг",нет,https://msk.etagi.com/realty/12593419/,raw,0.7,geo_recomputed,7.7,6.57,0.32,0.16,0.24,0.29
all,19700000.0,57.8,2.0,7.0,17.0,"Москва, ул. Ангелов переулок, 11",55.852192,37.345733,Пятницкое шоссе,6.0,10.1,евроремонт,панельные,,2.64,не угловая,"пассажирский, грузовой",11,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12593452/,raw,0.49,geo_recomputed,20.2,2.92,0.26,0.13,0.16,0.28
all,20000000.0,43.9,2.0,7.0,26.0,"Москва, ул. шоссе Энтузиастов, 86ак2",55.764014,37.798268,Новогиреево,20.0,4.0,евроремонт,монолитные,,2.64,не угловая,,86ак2,Двор,,нет,https://msk.etagi.com/realty/12593561/,raw,1.66,geo_recomputed,11.5,2.79,0.6,0.54,0.19,0.37
all,11000000.0,35.0,1.0,10.0,14.0,"Москва, ул. Головачёва, 5к1",55.67459,37.806129,Люблино,34.0,9.5,требует ремонта / частичный ремонт,блочные,1972.0,2.64,не угловая,"пассажирский, грузовой",5к1,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12593870/,raw,2.8,geo_recomputed,14.73,1.78,0.21,0.13,0.13,0.08
all,24440000.0,50.0,2.0,14.0,25.0,"Москва, ул. Академика Скрябина, 6 (18 км до центра)",55.71518,37.796104,Рязанский проспект,3.0,9.0,,панельные,,,не угловая,"пассажирский, грузовой",6,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12594039/,raw,0.24,geo_recomputed,12.03,2.56,0.21,0.15,0.31,0.12
