price,area_total,rooms,floor,floors_total,latitude,longitude,metro_walk_min,kitchen_area,build_year,ceiling_height,floor_position,yard,playground,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,parking_underground,parking_ground,parking_multilevel,parking_open,elevator_passenger,elevator_cargo,walls_norm_block,walls_norm_brick,walls_norm_monolith,walls_norm_other,walls_norm_panel,walls_norm_unknown,renovation_norm_cosmetic,renovation_norm_good,renovation_norm_no_repair,renovation_norm_other,renovation_norm_unknown
10800000.0,25.0,0.0,2.0,10.0,55.742448,37.707521,12.0,5.0,,3.0,не угловая,Двор,нет,raw,1.0,geo_recomputed,5.85,8.4,0.39,0.53,0.21,0.56,432000.0,0,1,0,0,1,0,False,False,True,False,False,False,True,False,False,False,False
25990000.0,69.2,3.0,2.0,5.0,55.77791,37.664788,3.0,8.0,1930.0,2.64,не угловая,Двор,нет,raw,0.25,geo_recomputed,4.2,11.12,0.34,0.29,0.34,0.19,375578.0346820809,0,1,0,0,1,1,False,True,False,False,False,False,False,False,False,True,False
20600000.0,34.3,1.0,8.0,30.0,55.814937,37.430453,6.0,17.7,2024.0,,не угловая,Двор,нет,raw,0.47,geo_recomputed,13.52,2.46,0.26,0.55,0.19,0.62,600583.0903790088,1,1,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False
16500000.0,40.1,1.0,9.0,23.0,55.557948,37.557268,13.0,14.2,2017.0,2.7,не угловая,Двор,есть,raw,1.08,geo_recomputed,21.91,2.74,0.15,0.3,0.77,0.8,411471.3216957606,1,1,0,0,1,1,False,False,True,False,False,False,False,True,False,False,False
17300000.0,48.7,2.0,5.0,11.0,55.604748,37.664024,18.0,10.0,2013.0,2.64,не угловая,Двор,нет,raw,1.54,geo_recomputed,16.67,3.5,0.72,0.22,0.26,0.41,355236.1396303901,0,1,0,0,1,1,False,False,True,False,False,False,False,False,False,False,True
33000000.0,78.8,3.0,13.0,32.0,55.811857,37.59515,6.0,19.5,,2.76,не угловая,Детская площадка,нет,raw,0.5,geo_recomputed,6.76,9.96,0.35,0.38,0.39,0.54,418781.7258883249,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False
18000000.0,58.7,2.0,7.0,12.0,55.532126,37.501618,13.0,12.9,2006.0,2.64,не угловая,Двор,есть,raw,1.11,geo_recomputed,25.5,6.75,0.15,0.07,1.06,0.23,306643.95229982963,0,1,0,0,1,1,False,False,False,False,True,False,True,False,False,False,False
23650000.0,75.1,3.0,14.0,14.0,55.652705,37.754413,9.0,10.0,1995.0,2.64,не угловая,Двор,есть,raw,0.77,geo_recomputed,14.07,3.98,0.22,0.02,0.11,0.27,314913.44873502,0,1,0,0,1,1,False,False,False,False,True,False,True,False,False,False,False
22000000.0,38.0,1.0,14.0,29.0,55.857712,37.60614,9.0,10.0,,3.0,не угловая,Детская площадка,нет,raw,0.73,geo_recomputed,11.75,4.87,0.3,0.2,0.23,0.15,578947.3684210526,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,True,False
24000000.0,36.2,1.0,16.0,24.0,55.668396,37.523339,4.0,9.0,,2.7,не угловая,Двор,нет,raw,0.34,geo_recomputed,10.97,5.14,0.23,0.02,0.53,0.13,662983.4254143646,0,1,0,0,1,1,False,False,True,False,False,False,True,False,False,False,False
7500000.0,32.6,1.0,5.0,9.0,55.821087,37.868445,55.0,9.0,1974.0,2.64,не угловая,Двор,есть,raw,4.56,geo_recomputed,17.57,1.91,0.18,0.34,0.71,0.09,230061.3496932515,0,1,0,0,1,0,False,False,False,False,True,False,True,False,False,False,False
25000000.0,74.9,3.0,10.0,16.0,55.546735,37.55734,2.0,9.0,2002.0,2.7,не угловая,Двор,есть,raw,0.2,geo_recomputed,23.14,3.88,0.19,0.16,0.29,0.17,333778.3711615487,0,1,0,0,1,1,False,False,False,False,True,False,True,False,False,False,False
25000000.0,59.0,2.0,7.0,24.0,55.742078,37.507412,6.0,11.0,,,не угловая,Парковка,нет,raw,0.51,geo_recomputed,6.86,8.12,0.48,0.27,0.42,0.21,423728.81355932204,1,0,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False
