source_group,price,area_total,kitchen_area,price_per_m2,rooms,floor,floors_total,address,metro,metro_walk_min,walls,walls_clean,link,address_raw,metro_raw
3k,32500000,87.2,26.9,372706.4220183486,3.0,2.0,17.0,"ул. проспект Андропова, 13/32, Москва",,3.0,Панельные,панель,https://msk.etagi.com/realty/11982846/,"3к, 87.2м², 2/17 этаж, ул. проспект Андропова, 13/32, Москва, квартира",в
3k,17500000,68.0,9.0,257352.9411764706,3.0,12.0,12.0,"ул. Ясеневая, 33к1, Москва",Зябликово,12.0,Железобетонные панели,панель,https://msk.etagi.com/realty/11986093/,"3к, 68м², 12/12 этаж, ул. Ясеневая, 33к1, Москва, квартира",Зябликово
3k,28700000,76.8,11.5,373697.9166666667,3.0,24.0,31.0,"ул. Константина Федина, 13, Москва",Щёлковская,6.0,Монолитно-Кирпичный,монолит,https://msk.etagi.com/realty/11986192/,"3к, 76.8м², 24/31 этаж, ул. Константина Федина, 13, Москва, квартира",Щёлковская
3k,30500000,79.0,10.5,386075.9493670886,3.0,12.0,22.0,"ул. Щёлковское шоссе, 61, Москва",,4.0,Монолитные,монолит,https://msk.etagi.com/realty/11991374/,"3к, 79м², 12/22 этаж, ул. Щёлковское шоссе, 61, Москва, квартира",до метро Щелковская
3k,32700000,90.2,22.3,362527.7161862528,3.0,11.0,33.0,"ул. Амурская, 2ак2, Москва",Локомотив,9.0,Монолитные,монолит,https://msk.etagi.com/realty/11991412/,"3к, 90.2м², 11/33 этаж, ул. Амурская, 2ак2, Москва, квартира",Локомотив
3k,29700000,64.0,9.2,464062.5,3.0,4.0,7.0,"ул. Мытная, 54, Москва",Шаболовская,11.0,Кирпичные,кирпич,https://msk.etagi.com/realty/11992144/,"3к, 64м², 4/7 этаж, ул. Мытная, 54, Москва, квартира",На карте Шаболовская
3k,37000000,95.8,,386221.2943632568,3.0,17.0,29.0,"ул. Ивана Франко, 6, Москва",Кунцевская,2.0,Монолитно-Кирпичный,монолит,https://msk.etagi.com/realty/11932704/,"3к, 95.8м², 17/29 этаж, ул. Ивана Франко, 6, Москва, апартаменты",Кунцевская
3k,23250000,58.3,12.27,398799.3138936535,3.0,6.0,23.0,"ул. Каширское шоссе, 65к2, Москва",Домодедовская,20.0,Монолитные,монолит,https://msk.etagi.com/realty/11943993/,"3к, 58.3м², 6/23 этаж, ул. Каширское шоссе, 65к2, Москва, квартира",Домодедовская
3k,16150000,59.4,6.0,271885.5218855219,3.0,3.0,9.0,"ул. Кетчерская, 8к1, Москва",Новогиреево,3.0,Панельные,панель,https://msk.etagi.com/realty/11944555/,"3к, 59.4м², 3/9 этаж, ул. Кетчерская, 8к1, Москва, квартира",Новогиреево
3k,24800000,82.0,12.0,302439.0243902439,3.0,13.0,14.0,"ул. Новомарьинская, 12/12к1, Москва",Братиславская,12.0,Панельные,панель,https://msk.etagi.com/realty/11945148/,"3к, 82м², 13/14 этаж, ул. Новомарьинская, 12/12к1, Москва, квартира",На карте Братиславская
3k,16150000,49.6,6.0,325604.8387096774,3.0,4.0,9.0,"ул. Героев Панфиловцев, 9к1, Москва",Планерная,9.0,Панельные,панель,https://msk.etagi.com/realty/11947921/,"3к, 49.6м², 4/9 этаж, ул. Героев Панфиловцев, 9к1, Москва, квартира",Планерная
3k,31000000,64.1,17.9,483619.344773791,3.0,3.0,34.0,,Воронцовская,8.0,Монолитно-Кирпичный,монолит,https://msk.etagi.com/realty/11948655/,Посмотреть 16 фото,Воронцовская
3k,20300000,62.4,7.0,325320.5128205128,3.0,5.0,12.0,"ул. Рогова, 2, Москва",Щукинская,21.0,Каркасно-панельный,панель,https://msk.etagi.com/realty/11759149/,"3к, 62.4м², 5/12 этаж, ул. Рогова, 2, Москва, квартира",На карте Щукинская
3k,27999999,77.0,11.0,363636.3506493507,3.0,2.0,17.0,"ул. Борисовские Пруды, 13к1, Москва",Борисово,23.0,Панельные,панель,https://msk.etagi.com/realty/11900679/,"3к, 77м², 2/17 этаж, ул. Борисовские Пруды, 13к1, Москва, квартира",Борисово
3k,31500000,73.0,9.7,431506.8493150685,3.0,13.0,24.0,"ул. Коминтерна, 28к1, Москва",Бабушкинская,21.0,Кирпичные,кирпич,https://msk.etagi.com/realty/11902740/,"3к, 73м², 13/24 этаж, ул. Коминтерна, 28к1, Москва, квартира",Бабушкинская
3k,36750000,70.0,12.6,525000.0,3.0,,,"ул. Красноказарменная, 14а, Москва",,9.0,,,https://msk.etagi.com/realty/11903449/,"3к, 70м², 18 этаж, ул. Красноказарменная, 14а, Москва, квартира",а На карте Лефортово Авиамоторная
3k,22000000,63.0,6.0,349206.34920634923,3.0,7.0,9.0,"ул. Болотниковская, 42к1, Москва",Нахимовский проспект,18.0,Панельные,панель,https://msk.etagi.com/realty/11904825/,"3к, 63м², 7/9 этаж, ул. Болотниковская, 42к1, Москва, квартира",На карте Нахимовский проспект
